StationCode,isSWMP,DateTimeStamp,Date,Time,Epoch,TimeFrame,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO23F,F_NO23F,CHLA_N,F_CHLA_N
gndbhnut,P,5/29/2006 21:22,5/29/2006,21:22,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.015,<4>  ,0.5,<4>  B                   
gndbhnut,P,5/29/2006 21:23,5/29/2006,21:23,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.015,<4>  ,0.5,<4>  B                   
gndbhnut,P,5/29/2006 21:27,5/29/2006,21:27,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.01,<4>  B                   ,0.67,<4>  
gndbhnut,P,5/29/2006 21:28,5/29/2006,21:28,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.024,<4>  ,1.73,<4>  
gndpcnut,P,5/29/2006 22:15,5/29/2006,22:15,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.015,<4>  ,0.8,<4>  
gndpcnut,P,5/29/2006 22:16,5/29/2006,22:16,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.013,<4>  ,0.5,<4>  B                   
gndblnut,P,5/29/2006 22:55,5/29/2006,22:55,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.033,<4>  ,0.67,<4>  
gndblnut,P,5/29/2006 22:56,5/29/2006,22:56,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.022,<4>  ,0.67,<4>  
gndbcnut,P,5/29/2006 23:17,5/29/2006,23:17,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.015,<4>  ,1.07,<4>  
gndbcnut,P,5/29/2006 23:18,5/29/2006,23:18,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.013,<4>  ,1.34,<4>  
gndbhnut,P,6/27/2006 16:45,6/27/2006,16:45,PE1,E1A,1,1,,0.01,<4>  B                   ,0.13,<4>  ,0.199,<4>  ,0.67,<4>  
gndbhnut,P,6/27/2006 16:46,6/27/2006,16:46,PE1,E1A,1,2,,0.01,<4>  B                   ,0.164,<4>  ,0.195,<4>  ,0.67,<4>  
gndbhnut,P,6/27/2006 16:50,6/27/2006,16:50,PE1,E1A,1,1,,0.01,<4>  B                   ,0.127,<4>  ,0.046,<4>  ,1.74,<4>  
gndbhnut,P,6/27/2006 16:51,6/27/2006,16:51,PE1,E1A,1,2,,0.01,<4>  B                   ,0.136,<4>  ,0.03,<4>  ,1.87,<4>  
gndpcnut,P,6/27/2006 17:38,6/27/2006,17:38,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  ,0.156,<4>  ,1.74,<4>  
gndpcnut,P,6/27/2006 17:39,6/27/2006,17:39,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.34,<4>  
gndblnut,P,6/27/2006 18:18,6/27/2006,18:18,PE1,E1A,1,1,,0.01,<4>  B                   ,0.052,<4>  ,0.01,<4>  B                   ,1.34,<4>  
gndblnut,P,6/27/2006 18:19,6/27/2006,18:19,PE1,E1A,1,2,,0.01,<4>  B                   ,0.051,<4>  ,0.01,<4>  B                   ,0.93,<4>  
gndbnnut,S,6/27/2006 18:24,6/27/2006,18:24,PE1,E1A,1,1,,0.04,<4>  ,0.04,<4>  ,0.01,<4>  B                   ,1.34,<4>  
gndbnnut,S,6/27/2006 18:25,6/27/2006,18:25,PE1,E1A,1,2,,0.036,<4>  ,0.044,<4>  ,0.01,<4>  B                   ,1.34,<4>  
gndbcnut,P,6/27/2006 18:40,6/27/2006,18:40,PE1,E1A,1,1,,0.01,<4>  B                   ,0.029,<4>  ,0.02,<4>  ,2,<4>  
gndbcnut,P,6/27/2006 18:41,6/27/2006,18:41,PE1,E1A,1,2,,0.01,<4>  B                   ,0.03,<4>  ,0.029,<4>  ,2,<4>  
gndbhnut,P,7/24/2006 17:30,7/24/2006,17:30,PE1,E1C,1,1,,0.01,<4>  B                   ,0.394,<4>  ,0.196,<4>  ,0.8,<4>  
gndbhnut,P,7/24/2006 17:31,7/24/2006,17:31,PE1,E1C,1,2,,0.01,<4>  B                   ,0.325,<4>  ,0.196,<4>  ,0.8,<4>  
gndbhnut,P,7/24/2006 17:35,7/24/2006,17:35,PE1,E1C,1,1,,0.01,<4>  B                   ,0.149,<4>  ,0.031,<4>  ,2.27,<4>  
gndbhnut,P,7/24/2006 17:36,7/24/2006,17:36,PE1,E1C,1,2,,0.01,<4>  B                   ,0.12,<4>  ,0.025,<4>  ,2.4,<4>  
gndpcnut,P,7/24/2006 18:20,7/24/2006,18:20,PE1,E1C,1,1,,0.01,<4>  B                   ,0.058,<4>  ,0.011,<4>  ,2.67,<4>  
gndpcnut,P,7/24/2006 18:21,7/24/2006,18:21,PE1,E1C,1,2,,0.01,<4>  B                   ,0.058,<4>  ,0.011,<4>  ,3.42,<4>  
gndbnnut,S,7/24/2006 18:55,7/24/2006,18:55,PE1,E1C,1,1,,0.01,<4>  B                   ,0.139,<4>  ,0.022,<4>  ,1.3,<4>  
gndbnnut,S,7/24/2006 18:56,7/24/2006,18:56,PE1,E1C,1,2,,0.01,<4>  B                   ,0.093,<4>  ,0.023,<4>  ,1.07,<4>  
gndblnut,P,7/24/2006 19:00,7/24/2006,19:00,PE1,E1C,1,1,,0.01,<4>  B                   ,0.092,<4>  ,0.025,<4>  ,1.67,<4>  
gndblnut,P,7/24/2006 19:01,7/24/2006,19:01,PE1,E1C,1,2,,0.01,<4>  B                   ,0.092,<4>  ,0.025,<4>  ,1.52,<4>  
gndbcnut,P,7/24/2006 19:35,7/24/2006,19:35,PE1,E1C,1,1,,0.01,<4>  B                   ,0.098,<4>  ,0.02,<4>  ,0.53,<4>  
gndbcnut,P,7/24/2006 19:36,7/24/2006,19:36,PE1,E1C,1,2,,0.01,<4>  B                   ,0.082,<4>  ,0.02,<4>  ,0.5,<4>  B                   
gndblnut,P,8/17/2006 14:30,8/17/2006,14:30,PE1,E1C,1,1,,0.01,<4>  B                   ,0.031,<4>  ,0.026,<4>  ,8.01,<4>  
gndblnut,P,8/17/2006 14:31,8/17/2006,14:31,PE1,E1C,1,2,,0.01,<4>  B                   ,0.01,<4>  ,0.01,<4>  B                   ,8.01,<4>  
gndbnnut,S,8/17/2006 14:40,8/17/2006,14:40,PE1,E1C,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,8.01,<4>  
gndbnnut,S,8/17/2006 14:41,8/17/2006,14:41,PE1,E1C,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,8.54,<4>  
gndpcnut,P,8/17/2006 14:50,8/17/2006,14:50,PE1,E1C,1,1,,0.01,<4>  B                   ,0.014,<4>  ,0.01,<4>  B                   ,18.69,<4>  
gndpcnut,P,8/17/2006 14:51,8/17/2006,14:51,PE1,E1C,1,2,,0.01,<4>  B                   ,0.047,<4>  ,0.01,<4>  B                   ,14.42,<4>  
gndbhnut,P,8/17/2006 15:10,8/17/2006,15:10,PE1,E1C,1,1,,0.01,<4>  B                   ,0.069,<4>  ,0.021,<4>  ,2.14,<4>  
gndbhnut,P,8/17/2006 15:11,8/17/2006,15:11,PE1,E1C,1,2,,0.01,<4>  B                   ,0.07,<4>  ,0.021,<4>  ,1.6,<4>  
gndbhnut,P,8/17/2006 15:15,8/17/2006,15:15,PE1,E1C,1,1,,0.01,<4>  B                   ,0.226,<4>  ,0.01,<4>  B                   ,16.55,<4>  
gndbhnut,P,8/17/2006 15:16,8/17/2006,15:16,PE1,E1C,1,2,,0.01,<4>  B                   ,0.018,<4>  ,0.01,<4>  B                   ,13.88,<4>  
gndbcnut,P,8/17/2006 15:45,8/17/2006,15:45,PE1,E1C,1,1,,0.01,<4>  B                   ,0.013,<4>  ,0.01,<4>  B                   ,19.76,<4>  
gndbcnut,P,8/17/2006 15:46,8/17/2006,15:46,PE1,E1C,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,19.22,<4>  
gndbhnut,P,9/12/2006 13:15,9/12/2006,13:15,PE1,E1C,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,36.85,<4>  
gndbhnut,P,9/12/2006 13:16,9/12/2006,13:16,PE1,E1C,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,48.06,<4>  
gndbhnut,P,9/12/2006 13:20,9/12/2006,13:20,PE1,E1C,1,1,,0.018,<4>  ,0.026,<4>  ,0.01,<4>  B                   ,14.42,<4>  
gndbhnut,P,9/12/2006 13:21,9/12/2006,13:21,PE1,E1C,1,2,,0.014,<4>  ,0.025,<4>  ,0.01,<4>  B                   ,17.09,<4>  
gndpcnut,P,9/12/2006 13:47,9/12/2006,13:47,PE1,E1C,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,11.75,<4>  
gndpcnut,P,9/12/2006 13:48,9/12/2006,13:48,PE1,E1C,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,15.49,<4>  
gndblnut,P,9/12/2006 14:15,9/12/2006,14:15,PE1,E1C,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,9.08,<4>  
gndblnut,P,9/12/2006 14:16,9/12/2006,14:16,PE1,E1C,1,2,,0.011,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,6.94,<4>  
gndbnnut,S,9/12/2006 14:34,9/12/2006,14:34,PE1,E1C,1,1,,0.024,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,5.87,<4>  
gndbnnut,S,9/12/2006 14:35,9/12/2006,14:35,PE1,E1C,1,2,,0.035,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,8.01,<4>  
gndbcnut,P,9/12/2006 15:00,9/12/2006,15:00,PE1,E1C,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,8.54,<4>  
gndbcnut,P,9/12/2006 15:01,9/12/2006,15:01,PE1,E1C,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,7.48,<4>  
gndbhnut,P,10/11/2006 8:55,10/11/2006,8:55,PE1,E1C,1,1,,0.01,<4>  B                   ,0.092,<4>  ,0.01,<4>  B                   ,10.68,<4>  
gndbhnut,P,10/11/2006 8:56,10/11/2006,8:56,PE1,E1C,1,2,,0.01,<4>  B                   ,0.092,<4>  ,0.01,<4>  B                   ,9.61,<4>  
gndbhnut,P,10/11/2006 9:00,10/11/2006,9:00,PE1,E1C,1,1,,0.01,<4>  B                   ,0.109,<4>  ,0.01,<4>  B                   ,12.28,<4>  
gndbhnut,P,10/11/2006 9:01,10/11/2006,9:01,PE1,E1C,1,2,,0.01,<4>  B                   ,0.113,<4>  ,0.01,<4>  B                   ,10.15,<4>  
gndpcnut,P,10/11/2006 9:25,10/11/2006,9:25,PE1,E1C,1,1,,0.01,<4>  B                   ,0.085,<4>  ,0.01,<4>  B                   ,12.28,<4>  
gndpcnut,P,10/11/2006 9:26,10/11/2006,9:26,PE1,E1C,1,2,,0.01,<4>  B                   ,0.099,<4>  ,0.01,<4>  B                   ,9.61,<4>  
gndbcnut,P,10/11/2006 9:45,10/11/2006,9:45,PE1,E1C,1,1,,0.01,<4>  B                   ,0.094,<4>  ,0.01,<4>  B                   ,6.94,<4>  
gndbcnut,P,10/11/2006 9:46,10/11/2006,9:46,PE1,E1C,1,2,,0.01,<4>  B                   ,0.094,<4>  ,0.01,<4>  B                   ,4.81,<4>  
gndblnut,P,10/11/2006 10:05,10/11/2006,10:05,PE1,E1C,1,1,,0.011,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,5.34,<4>  
gndblnut,P,10/11/2006 10:06,10/11/2006,10:06,PE1,E1C,1,2,,0.013,<4>  ,0.104,<4>  ,0.01,<4>  B                   ,6.94,<4>  
gndbnnut,S,10/11/2006 10:10,10/11/2006,10:10,PE1,E1C,1,1,,0.01,<4>  ,0.086,<4>  ,0.01,<4>  B                   ,4.81,<4>  
gndbnnut,S,10/11/2006 10:11,10/11/2006,10:11,PE1,E1C,1,2,,0.02,<4>  ,0.08,<4>  ,0.01,<4>  B                   ,4.81,<4>  
gndbhnut,P,11/8/2006 10:20,11/8/2006,10:20,PE1,E1C,1,1,,0.01,<4>  B                   ,0.049,<4>  ,0.01,<4>  B                   ,0.53,<4>  
gndbhnut,P,11/8/2006 10:21,11/8/2006,10:21,PE1,E1C,1,2,,0.01,<4>  B                   ,0.046,<4>  ,0.01,<4>  B                   ,0.53,<4>  
gndbhnut,P,11/8/2006 10:25,11/8/2006,10:25,PE1,E1C,1,1,,0.01,<4>  B                   ,0.046,<4>  ,0.01,<4>  B                   ,3.2,<4>  
gndbhnut,P,11/8/2006 10:26,11/8/2006,10:26,PE1,E1C,1,2,,0.01,<4>  B                   ,0.059,<4>  ,0.01,<4>  B                   ,3.74,<4>  
gndpcnut,P,11/8/2006 10:50,11/8/2006,10:50,PE1,E1C,1,1,,0.01,<4>  B                   ,0.05,<4>  ,0.01,<4>  B                   ,4.27,<4>  
gndpcnut,P,11/8/2006 10:51,11/8/2006,10:51,PE1,E1C,1,2,,0.01,<4>  B                   ,0.047,<4>  ,0.01,<4>  B                   ,3.74,<4>  
gndblnut,P,11/8/2006 11:15,11/8/2006,11:15,PE1,E1C,1,1,,0.052,<4>  ,0.032,<4>  ,0.01,<4>  B                   ,2.14,<4>  
gndblnut,P,11/8/2006 11:16,11/8/2006,11:16,PE1,E1C,1,2,,0.075,<4>  ,0.038,<4>  ,0.01,<4>  B                   ,2.67,<4>  
gndbnnut,S,11/8/2006 11:40,11/8/2006,11:40,PE1,E1C,1,1,,0.125,<4>  ,0.034,<4>  ,0.01,<4>  B                   ,3.2,<4>  
gndbnnut,S,11/8/2006 11:41,11/8/2006,11:41,PE1,E1C,1,2,,0.11,<4>  ,0.022,<4>  ,0.01,<4>  B                   ,3.2,<4>  
gndbcnut,P,11/8/2006 11:50,11/8/2006,11:50,PE1,E1C,1,1,,0.01,<4>  B                   ,0.03,<4>  ,0.01,<4>  B                   ,2.67,<4>  
gndbcnut,P,11/8/2006 11:51,11/8/2006,11:51,PE1,E1C,1,2,,0.01,<4>  B                   ,0.028,<4>  ,0.01,<4>  B                   ,2.67,<4>  
gndbnnut,S,12/6/2006 0:00,12/6/2006,0:00,PE1,E1C,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbnnut,S,12/6/2006 0:00,12/6/2006,0:00,PE1,E1C,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndblnut,P,12/6/2006 10:45,12/6/2006,10:45,PE1,E1C,1,1,,0.01,<4>  B                   ,0.022,<4>  ,0.01,<4>  B                   ,1.07,<4>  
gndblnut,P,12/6/2006 10:46,12/6/2006,10:46,PE1,E1C,1,2,,0.01,<4>  B                   ,0.02,<4>  ,0.01,<4>  B                   ,0.53,<4>  
gndpcnut,P,12/6/2006 11:15,12/6/2006,11:15,PE1,E1C,1,1,,0.01,<4>  B                   ,0.06,<4>  ,0.01,<4>  B                   ,4.27,<4>  
gndpcnut,P,12/6/2006 11:16,12/6/2006,11:16,PE1,E1C,1,2,,0.01,<4>  B                   ,0.021,<4>  ,0.01,<4>  B                   ,4.27,<4>  
gndbcnut,P,12/6/2006 11:45,12/6/2006,11:45,PE1,E1C,1,1,,0.01,<4>  B                   ,0.034,<4>  ,0.01,<4>  B                   ,2.67,<4>  
gndbcnut,P,12/6/2006 11:46,12/6/2006,11:46,PE1,E1C,1,2,,0.01,<4>  B                   ,0.031,<4>  ,0.01,<4>  B                   ,2.14,<4>  
gndbhnut,P,12/6/2006 12:40,12/6/2006,12:40,PE1,E1C,1,1,,0.01,<4>  B                   ,0.08,<4>  ,0.013,<4>  ,10.15,<4>  
gndbhnut,P,12/6/2006 12:41,12/6/2006,12:41,PE1,E1C,1,2,,0.01,<4>  B                   ,0.067,<4>  ,0.01,<4>  B                   ,11.21,<4>  
gndbhnut,P,12/6/2006 12:45,12/6/2006,12:45,PE1,E1C,1,1,,0.01,<4>  B                   ,0.022,<4>  ,0.01,<4>  B                   ,9.61,<4>  
gndbhnut,P,12/6/2006 12:46,12/6/2006,12:46,PE1,E1C,1,2,,0.01,<4>  B                   ,0.031,<4>  ,0.01,<4>  B                   ,8.54,<4>  
gndpcnut,P,1/9/2007 9:50,1/9/2007,9:50,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.043,<0>  ,0.01,<-4> [SBL] ,2.94,<0>  
gndpcnut,P,1/9/2007 9:51,1/9/2007,9:51,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.06,<0>  ,0.01,<-4> [SBL] ,3.07,<0>  
gndblnut,P,1/9/2007 10:35,1/9/2007,10:35,PE1,E1C,1,1,,0.09,<0>  ,0.052,<0>  ,0.01,<-4> [SBL] ,5.07,<0>  
gndblnut,P,1/9/2007 10:36,1/9/2007,10:36,PE1,E1C,1,2,,0.09,<0>  ,0.16,<0>  ,0.01,<-4> [SBL] ,9.48,<0>  
gndbnnut,S,1/9/2007 10:43,1/9/2007,10:43,PE1,E1C,1,1,,0.091,<0>  ,0.17,<0>  ,0.01,<-4> [SBL] ,1.6,<0>  
gndbnnut,S,1/9/2007 10:44,1/9/2007,10:44,PE1,E1C,1,2,,0.126,<0>  ,0.144,<0>  ,0.01,<-4> [SBL] ,2,<0>  
gndbcnut,P,1/9/2007 11:05,1/9/2007,11:05,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.111,<0>  ,0.01,<-4> [SBL] ,3.74,<0>  
gndbcnut,P,1/9/2007 11:06,1/9/2007,11:06,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.11,<0>  ,0.01,<0>  ,3.74,<0>  
gndbhnut,P,1/9/2007 11:55,1/9/2007,11:55,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.056,<0>  ,0.01,<-4> [SBL] ,0.13,<0>  
gndbhnut,P,1/9/2007 11:56,1/9/2007,11:56,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.018,<0>  ,0.01,<-4> [SBL] ,0.53,<0>  
gndbhnut,P,1/9/2007 12:00,1/9/2007,12:00,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.124,<0>  ,0.01,<-4> [SBL] ,1.87,<0>  
gndbhnut,P,1/9/2007 12:01,1/9/2007,12:01,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.033,<0>  ,0.01,<-4> [SBL] ,2,<0>  
gndpcnut,P,2/13/2007 9:55,2/13/2007,9:55,PE1,E1C,1,1,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,1.61,<0>  
gndpcnut,P,2/13/2007 9:56,2/13/2007,9:56,PE1,E1C,1,2,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,2.51,<0>  
gndblnut,P,2/13/2007 10:20,2/13/2007,10:20,PE1,E1C,1,1,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,1.55,<0>  
gndblnut,P,2/13/2007 10:21,2/13/2007,10:21,PE1,E1C,1,2,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,1.6,<0>  
gndbnnut,S,2/13/2007 10:28,2/13/2007,10:28,PE1,E1C,1,1,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,1.86,<0>  
gndbnnut,S,2/13/2007 10:29,2/13/2007,10:29,PE1,E1C,1,2,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,1.8,<0>  
gndbcnut,P,2/13/2007 10:42,2/13/2007,10:42,PE1,E1C,1,1,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,3,<0>  
gndbcnut,P,2/13/2007 10:43,2/13/2007,10:43,PE1,E1C,1,2,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,1.72,<0>  
gndbhnut,P,2/13/2007 11:30,2/13/2007,11:30,PE1,E1C,1,1,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,7.19,<0>  
gndbhnut,P,2/13/2007 11:31,2/13/2007,11:31,PE1,E1C,1,2,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,7.9,<0>  
gndbhnut,P,2/13/2007 11:35,2/13/2007,11:35,PE1,E1C,1,1,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,3.22,<0>  
gndbhnut,P,2/13/2007 11:36,2/13/2007,11:36,PE1,E1C,1,2,,0.01,<-4> [SBL] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,3.43,<0>  
gndbhnut,P,3/13/2007 6:30,3/13/2007,6:30,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.168,<0>  ,0.01,<-4> [SBL] ,1.25,<0>  
gndbhnut,P,3/13/2007 6:31,3/13/2007,6:31,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.126,<0>  ,0.01,<-4> [SBL] ,1.16,<0>  
gndbhnut,P,3/13/2007 6:35,3/13/2007,6:35,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.114,<0>  ,0.011,<0>  ,1.34,<0>  
gndbhnut,P,3/13/2007 6:36,3/13/2007,6:36,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.167,<0>  ,0.01,<-4> [SBL] ,1.27,<0>  
gndpcnut,P,3/13/2007 6:55,3/13/2007,6:55,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.233,<0>  ,0.01,<-4> [SBL] ,0.73,<0>  
gndpcnut,P,3/13/2007 6:56,3/13/2007,6:56,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.051,<0>  ,0.01,<-4> [SBL] ,0.73,<0>  
gndblnut,P,3/13/2007 7:00,3/13/2007,7:00,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.089,<0>  ,0.01,<-4> [SBL] ,0.73,<0>  
gndblnut,P,3/13/2007 7:01,3/13/2007,7:01,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.013,<0>  ,0.01,<-4> [SBL] ,0.73,<0>  
gndbnnut,S,3/13/2007 7:05,3/13/2007,7:05,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.011,<0>  ,0.01,<-4> [SBL] ,0.53,<0>  
gndbnnut,S,3/13/2007 7:06,3/13/2007,7:06,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.01,<-4> [SBL] ,0.01,<-4> [SBL] ,0.6,<0>  
gndbcnut,P,3/13/2007 7:25,3/13/2007,7:25,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.139,<0>  ,0.01,<-4> [SBL] ,1,<0>  
gndbcnut,P,3/13/2007 7:26,3/13/2007,7:26,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.15,<0>  ,0.01,<-4> [SBL] ,1.14,<0>  
gndbhnut,P,4/11/2007 3:58,4/11/2007,3:58,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.04,<0>  ,0.01,<-4> [SBL] ,3.12,<0>  
gndbhnut,P,4/11/2007 3:59,4/11/2007,3:59,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.026,<0>  ,0.01,<-4> [SBL] ,3.12,<0>  
gndbhnut,P,4/11/2007 4:03,4/11/2007,4:03,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.1,<0>  ,0.053,<0>  ,0.47,<0>  
gndbhnut,P,4/11/2007 4:04,4/11/2007,4:04,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.201,<0>  ,0.053,<0>  ,0.47,<0>  
gndpcnut,P,4/11/2007 4:15,4/11/2007,4:15,PE1,E1C,1,1,,,<-2> [GDM] ,,<-2> [GDM] ,,<-2> [GDM] ,,<-2> [GDM] 
gndpcnut,P,4/11/2007 4:16,4/11/2007,4:16,PE1,E1C,1,2,,,<-2> [GDM] ,,<-2> [GDM] ,,<-2> [GDM] ,,<-2> [GDM] 
gndbcnut,P,4/11/2007 5:00,4/11/2007,5:00,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.116,<0>  ,0.01,<-4> [SBL] ,0.47,<0>  
gndbcnut,P,4/11/2007 5:01,4/11/2007,5:01,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.088,<0>  ,0.01,<-4> [SBL] ,0.4,<0>  
gndblnut,P,4/11/2007 5:38,4/11/2007,5:38,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.01,<-4> [SBL] ,0.01,<-4> [SBL] ,0.53,<0>  
gndblnut,P,4/11/2007 5:39,4/11/2007,5:39,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.153,<0>  ,0.01,<-4> [SBL] ,0.53,<0>  
gndbnnut,S,4/11/2007 5:44,4/11/2007,5:44,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.01,<-4> [SBL] ,0.01,<-4> [SBL] ,0.47,<0>  
gndbnnut,S,4/11/2007 5:45,4/11/2007,5:45,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.084,<0>  ,0.01,<-4> [SBL] ,0.6,<0>  
gndbcnut,P,5/15/2007 17:25,5/15/2007,17:25,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.169,<0>  ,0.01,<-4> [SBL] ,5.67,<0>  
gndbcnut,P,5/15/2007 17:26,5/15/2007,17:26,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.227,<0>  ,0.01,<-4> [SBL] ,9.53,<0>  
gndblnut,P,5/15/2007 17:40,5/15/2007,17:40,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.136,<0>  ,0.01,<-4> [SBL] ,5.66,<0>  
gndblnut,P,5/15/2007 17:41,5/15/2007,17:41,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.128,<0>  ,0.01,<-4> [SBL] ,5.62,<0>  
gndbnnut,S,5/15/2007 17:50,5/15/2007,17:50,PE1,E1C,1,1,,,<1> [SCC] ,,<-3> [GQD] (CSM) ,0.01,<-4> [SBL] ,3.61,<0>  
gndbnnut,S,5/15/2007 17:51,5/15/2007,17:51,PE1,E1C,1,2,,,<1> [SCC] ,0.155,<0>  ,0.01,<-4> [SBL] ,2.93,<0>  
gndpcnut,P,5/15/2007 18:05,5/15/2007,18:05,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.511,<0>  ,0.01,<-4> [SBL] ,5.31,<0>  
gndpcnut,P,5/15/2007 18:06,5/15/2007,18:06,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.328,<0>  ,0.01,<-4> [SBL] ,5.05,<0>  
gndbhnut,P,5/15/2007 18:20,5/15/2007,18:20,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.015,<0>  ,0.01,<-4> [SBL] ,6.45,<0>  
gndbhnut,P,5/15/2007 18:21,5/15/2007,18:21,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.04,<0>  ,0.01,<-4> [SBL] ,6.73,<0>  
gndbhnut,P,5/15/2007 18:25,5/15/2007,18:25,PE1,E1C,1,1,,0.01,<-4> [SBL] ,0.51,<1> [SRD] ,0.01,<-4> [SBL] ,6.11,<0>  
gndbhnut,P,5/15/2007 18:26,5/15/2007,18:26,PE1,E1C,1,2,,0.01,<-4> [SBL] ,0.055,<0>  ,0.01,<-4> [SBL] ,7.58,<0>  
